id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
111,1914162,4224742,273791667,Rue Félix Poulat,footway,,,,,5.54377591855313
112,1915551.2,4222832.5,293837396,Rue Georges de Manteyer,residential,,,,31,11.1905644021335
113,1913760.8,4223632.5,97089113,,footway,,,,,4.34446497225993
114,1915024.1,4225067.5,76705554,,footway,,,,,1.8420903152122
115,1912471.9,4223747.5,42107076,,service,,,,,9.23973886175043
116,1915480.1,4222686,4015324,Avenue Paul Cocat,tertiary,,,,31,4.4700120484537
117,1914886.8,4223884.5,66756572,,path,1,,,,9.0372684400842
118,1914821.6,4222271.5,53563417,,footway,,,,,5.26037393626987
119,1915353.2,4224671,322550013,,path,,,,,13.1062922994488
120,1914940.5,4224399,301074133,Boulevard Jean Pain,primary,1,,,51,5.67179521305502
121,1912936.4,4225004.5,167992017,,track,,,,,2.67581497480899
122,1914328.5,4224007.5,82633051,Rue Henri Ding,footway,,,,,28.1810323253111
123,1914181.8,4221773.5,177500852,,pedestrian,,,,,6.43503337108526
124,1914963.5,4223312,191570157,,path,,,,,29.628716629528
125,1914460.1,4223968.5,395524600,,footway,,,,,4.71229943916473
126,1912497,4222617.5,29369373,,residential,,,,31,20.657693999397
127,1913893.9,4224649.5,41283920,Boulevard Gambetta,secondary,1,,,31,6.86994410900132
128,1912514.9,4223537,291434975,,footway,,,,,1.16922863411758
129,1915366.1,4225727,67044176,Chemin de Halage,unclassified,,,,51,24.0234308157033
130,1913341.2,4223503.5,29399718,Rue Louis le Cardonnel,residential,1,,,31,10.8505522606691
131,1913333.1,4223470.5,29399718,Rue Louis le Cardonnel,residential,1,,,31,11.6644362726214
132,1912774,4221991.5,95453006,,footway,,,,,0.407376899702679
133,1913925,4221682,165734444,,service,,,,,40.8388336394493
134,1916041.2,4222649,4015325,Rue du Repos,unclassified,,,,31,19.5767543988321
135,1914722.4,4224228.5,52567122,,footway,,,,,3.73473187139997
136,1913299.1,4223446.5,29399717,Rue Charles Péguy,residential,,,,31,8.31954492920312
137,1913238.2,4225047,41743166,Rue Émile Gueymard,residential,1,,,31,5.57158024004803
138,1915652,4224251,383461966,Chemin Villebois,residential,,,,31,29.9217687558804
139,1913420.9,4225308,282084866,,service,,,,,0.609751711680784
140,1913679.5,4223231,286823048,,footway,,,,,23.0518534269285
141,1914210.4,4224277,25399272,Rue François Raoult,pedestrian,,,,,8.48624003902301
142,1915800.5,4224591.5,264671213,,path,1,,,,3.10500653554526
143,1915251.8,4222854.5,293837405,,footway,,,,,1.80821090304949
144,1915072.9,4224669,85388363,,footway,,,,,2.61595789581326
145,1912494.9,4225960.5,221368074,Avenue des Martyrs,secondary,1,,,51,0.759231272907894
146,1914563.8,4221803.5,178153717,Chemin du Tramway,footway,,,,,2.84340776818978
147,1914183.6,4223080.5,101571,Rue du Général Férrié,tertiary,1,,,31,4.13683597673271
148,1915010.8,4222923,100275434,,footway,,,,,3.60495347355273
149,1914936,4223682.5,199834392,Mallifaud,platform,,,,,13.7256811904982
150,1913442.1,4224305,44055840,Rue Joseph Rey,tertiary,1,,,31,5.66147897926158
151,1913637.9,4223239.5,286823048,,footway,,,,,9.95772318693815
152,1914293.6,4221780,177593603,,pedestrian,,,,,12.0435053418308
153,1915055,4222365.5,52597141,Rue Turgot,residential,0,,,31,3.1811288930189
154,1915193.2,4222833,50258587,,footway,,,,,19.4315605025762
155,1912546.8,4223733.5,29369358,Rue Docteur Greffier,residential,,,,,4.45545664259782
156,1914226.9,4222076.5,364111392,Allée des Romantiques,footway,,,,,1.56439642248938
157,1914900.1,4225362,76224441,,footway,,,,,13.8209929968796
158,1915002.5,4221054,101555,Rue Henri Barbusse,unclassified,1,,,31,9.45717999880928
159,1913851.6,4222779.5,228160068,Rue des Alliés,secondary,,,,51,4.74392679539402
160,1914195.9,4222183,4221382,Allée de la Sylphide,residential,,,,31,5.22981072966359
161,1914150,4222606,116041603,,footway,,,,,2.53898768752761
162,1914839.1,4222238.5,53563357,,footway,,,,,3.88315239195303
163,1915122,4225283.5,33512842,,footway,,,,,0.333099030017484
164,1914027.6,4222859.5,48038069,,footway,,,,,6.20672276859342
165,1913114.8,4225598.5,145916889,Rue Henry Duffourd,residential,,,,31,45.655935558468
166,1914501.9,4221855.5,204417594,Reynoard,platform,,,,,13.4335181366531
167,1915193.9,4225001.5,323273334,Chemin de Ronde,unclassified,,,,31,7.85716893343372
168,1915135.2,4221328.5,5466642,Avenue de l'Europe,secondary,1,,,51,7.92229785122713
169,1914127.8,4222618,116041603,,footway,,,,,4.41461938803883
170,1914962.1,4221423.5,158422444,Avenue de Constantine,unclassified,,,,31,8.31878682711689
171,1913072,4225005,16274515,Avenue du Doyen Louis Weil,unclassified,1,,,31,2.7195013453897
172,1912794.9,4221757,330138756,,footway,,,,,12.8185783056681
173,1912396.9,4222387,29369376,Rue Albert Thomas,unclassified,,,,31,9.17786781378762
174,1915280.6,4221986.5,158367177,,footway,,,,,4.6694224093578
175,1914397.8,4221447,116041604,,pedestrian,,,,,40.7455232817269
176,1913129.9,4225538.5,377833893,Rue du Villard de Lans,unclassified,,,,31,5.29607528176425
177,1915108.9,4222838,52527932,,footway,,,,,4.08935112624355
178,1915092.5,4221059.5,101555,Rue Henri Barbusse,unclassified,1,,,31,9.11369167300909
179,1913573.4,4223085.5,96756383,,footway,,,,,8.39770708258843
180,1914600.6,4221916.5,31237887,Rue des Peupliers,residential,,,,31,4.62432117546895
181,1912704.1,4224921.5,171762803,,cycleway,1,,,,1.3369406399532
182,1912447.1,4222474,324871967,Rue Elsa Triolet,residential,,,,,27.4956420591567
183,1914759.8,4222041.5,169391228,,pedestrian,,,,,7.24424077857855
184,1913113.9,4222957,52090004,Rue de la Houille Blanche,unclassified,,,,31,49.8388892515706
185,1914618.5,4221494.5,312381111,,unclassified,1,,,31,26.1514829762053
186,1914958.2,4222623.5,50253238,,footway,,,,,1.76093935005156
187,1914616.5,4225351.5,76209667,,footway,,,,,1.95363145622528
188,1915309.6,4224799.5,348324995,,footway,,,,,5.9060902815843
189,1914080.6,4222027,4221380,Rue de Stalingrad,tertiary,,,,31,7.09691126980503
190,1915645.5,4223004,320779485,Rue Georges de Manteyer,service,1,,,31,15.3915096145291
191,1914355.1,4224194,82633085,,footway,,,,,24.8178056901351
192,1915228.6,4222793,293837438,,footway,,,,,3.36258307181571
193,1912772.8,4221802,330138752,,footway,,,,,23.6604494204863
194,1914804.5,4222353,49862166,,footway,,,,,12.7208810227193
195,1912796.5,4221908,330138752,,footway,,,,,0.267520462936913
196,1913543.9,4223048,4014465,Rue Général Mangin,unclassified,,,,31,8.28219501461327
197,1914159.5,4224740,273791667,Rue Félix Poulat,footway,,,,,4.19108137624221
198,1915834.9,4223109.5,345572624,,cycleway,1,,,,2.72977447460344
199,1912485.4,4222537.5,29369372,Rue de la Solidarité,residential,,,,31,23.5234036557685
200,1912948.2,4224812,168261112,,footway,,,,,12.2832633704421
201,1914805.5,4222862,348767649,,cycleway,1,,,,5.15083282525555
202,1912635.2,4223131.5,120475901,,path,,,,,27.4041208898473
203,1915124.8,4224837,348324996,,footway,,,,,8.40066500193446
204,1912096.5,4226312,238481515,Place de la Résistance,secondary,1,,,51,2.3929555310731
205,1915462.5,4222752,379880960,,path,,,,,18.4851798440101
206,1913259.4,4223070.5,172636420,,footway,,,,,0.914148161473631
207,1915361.9,4222933,105906098,,footway,,,,,3.54489242941402
208,1915684.9,4225146,207845219,,footway,,,,,4.09957046298765
209,1915612.8,4222520,379879830,,footway,,,,,5.60613340874087
210,1915040.6,4224753,85388392,,footway,,,,,5.20364884593455
211,1913180,4225194.5,133626297,,service,,,,,3.04996781377674
212,1914221.4,4222066.5,4221571,Allée des Romantiques,residential,1,,,31,2.19416532175638
213,1912892.9,4221431,9751747,Rue Jean Vaujany,unclassified,,,,,7.27132163369942
214,1913127,4222807.5,385182515,,footway,,,,,7.31381779386255
215,1913541.1,4224102,290670691,,footway,,,,,0.0373005261609707
216,1914621.9,4221339,292166944,,footway,,,,,8.95007553293989
217,1913892.1,4223683,245301047,Boulevard Maréchal Foch,primary,1,,,51,4.47686964733573
218,1913090.6,4224662.5,200593018,Passage Auguste Genin,steps,,,,,4.82854380650278
219,1913110,4221976.5,41782820,,path,1,,,,4.92234987582226
220,1914466.1,4224044.5,82633060,,footway,,,,,33.2063322930027
221,1914843.5,4222269.5,53563357,,footway,,,,,6.84714959946456
222,1912704.2,4225716.5,291307473,,service,,,,,2.39416957113091
223,1914575.1,4221797,178153717,Chemin du Tramway,footway,,,,,4.14336022881559
224,1913823.9,4223238,232576907,,footway,,,,,1.46329122083744
225,1915045.2,4222208,52597133,Rue Florian,unclassified,,,,31,4.48700367576935
226,1914271.9,4224165.5,82634159,,footway,,,,,21.5484506286514
227,1912386.2,4221751,294019260,,motorway,1,,,91,26.9975880152769
228,1915493.8,4223089.5,379901028,,footway,,,,,9.53598169873436
229,1913664.9,4225245,74951517,,footway,,,,,5.74056886850042
