id,coord_x,coord_y,join_osm_id,join_name,join_type,join_population,distance
10351,1914122.8,4224908.5,919367053,Notre-Dame,neighbourhood,,460.970151427294
10352,1915134.9,4224658.5,3883913692,Mutualité,neighbourhood,,171.533339228547
10353,1915222.1,4224846.5,3883913692,Mutualité,neighbourhood,,205.699947947869
10354,1915874.6,4223134,3837354216,Châtelet,Voisinage,,383.973634268706
10355,1914401.5,4221915,1822915465,Arlequin,neighbourhood,,444.778765743528
10356,1914211,4222229.5,3840890815,Clos d'Or,neighbourhood,,224.729882377774
10357,1914962.2,4225222.5,3883913692,Mutualité,neighbourhood,,437.248036480611
10358,1914224.9,4222007,3840890815,Clos d'Or,neighbourhood,,447.645038865206
10359,1914178,4225036,919367053,Notre-Dame,neighbourhood,,391.0284282136
10360,1915765.8,4224528.5,550137565,Pont Carpin,quarter,,134.595564372478
10361,1914610.2,4224545,3883913693,Préfecture,neighbourhood,,125.121778776281
10362,1912773.6,4222059.5,3768518877,Mistral - Bachelard,suburb,,95.277545376196
10363,1913151.1,4225821.5,3363864096,Jean Macé,neighbourhood,,54.0489107354213
10364,1915327.5,4225113.5,3883913692,Mutualité,neighbourhood,,443.529318323642
10365,1914729.8,4223836.5,3883913693,Préfecture,neighbourhood,,718.471209099901
10366,1914161.8,4222497.5,3840890815,Clos d'Or,neighbourhood,,53.8822441646551
10367,1914586.9,4223843.5,3883913693,Préfecture,neighbourhood,,726.688899113153
10368,1913366,4225418,3363841337,Arago,neighbourhood,,201.079554577519
10369,1913575.2,4223201.5,26686589,Grenoble,city,155637,706.462118329414
10370,1913560.5,4222420.5,3840890815,Clos d'Or,neighbourhood,,633.261658017041
10371,1914685.5,4224185.5,3883913693,Préfecture,neighbourhood,,372.744316617755
10372,1913687.9,4225140,3363841337,Arago,neighbourhood,,572.569664720853
10373,1915242.4,4224986.5,3883913692,Mutualité,neighbourhood,,293.693223991787
10374,1915192,4222915.5,1822915468,La Bruyère,neighbourhood,,769.277106581105
10375,1916101.4,4223245,3837354216,Châtelet,Voisinage,,251.632065788517
10376,1914936.5,4225507,919367053,Notre-Dame,neighbourhood,,606.386001110074
10377,1912978.9,4225245,3363841337,Arago,neighbourhood,,233.104009475375
10378,1912917.5,4225428,3363841337,Arago,neighbourhood,,255.313316943326
10379,1915768.9,4224588,550137565,Pont Carpin,quarter,,162.079001315277
10380,1912594.1,4221726,3768518877,Mistral - Bachelard,suburb,,436.451115305459
10381,1915254.2,4222035,1822915467,Helbronner,neighbourhood,,70.9437777181176
