id,join_Station,distance
259,Grenoble Grands Boulevards,590.239030553456
260,Grenoble les Frenes,719.1345605333
261,Grenoble Grands Boulevards,1435.94213951008
262,Grenoble Grands Boulevards,1197.61753465612
263,Grenoble les Frenes,457.574476493616
264,Grenoble Rocade Sud,823.093539399419
265,Grenoble Grands Boulevards,680.706778513959
266,Saint-Martin d'Heres,1494.73662357264
267,Grenoble Grands Boulevards,1504.18810030335
268,Grenoble Grands Boulevards,1056.0227328618
269,Grenoble Grands Boulevards,2085.23429358282
270,Saint-Martin d'Heres,1012.26455930834
271,Grenoble les Frenes,754.108968351149
272,Grenoble Rocade Sud,659.579639032757
273,Grenoble Grands Boulevards,1077.70033860693
274,Grenoble Grands Boulevards,1613.01765082808
275,Grenoble Rocade Sud,759.432425896246
276,Grenoble Grands Boulevards,1086.83378813592
277,Grenoble les Frenes,1127.7151404323
278,Grenoble les Frenes,558.648444982184
279,Grenoble Rocade Sud,906.341335544891
280,Saint-Martin d'Heres,558.883041195135
281,Grenoble les Frenes,886.334026902998
282,Grenoble les Frenes,1035.99143795102
283,Grenoble les Frenes,1010.75010628993
284,Grenoble Grands Boulevards,424.874656284184
285,Grenoble Grands Boulevards,474.773977040597
286,Grenoble Grands Boulevards,1011.10010036024
287,Grenoble Grands Boulevards,1273.24641866793
288,Grenoble Grands Boulevards,383.51879945205
289,Grenoble Grands Boulevards,1076.30719663281
290,Grenoble Rocade Sud,810.082874455315
291,Grenoble les Frenes,802.257615753898
292,Grenoble les Frenes,1105.01354884526
293,Saint-Martin d'Heres,1770.50768306777
294,Grenoble les Frenes,620.609842842123
295,Grenoble Rocade Sud,793.474771774938
296,Grenoble les Frenes,1135.43639136118
297,Grenoble Grands Boulevards,2951.05799115261
298,Grenoble les Frenes,1030.49386156951
299,Grenoble Grands Boulevards,1360.25399094656
300,Grenoble les Frenes,739.122289971658
301,Grenoble les Frenes,1137.68614543806
302,Grenoble Rocade Sud,1030.73348073426
303,Grenoble Rocade Sud,677.17290073155
304,Grenoble Grands Boulevards,1154.97421001761
305,Grenoble les Frenes,1154.91554896833
306,Grenoble Grands Boulevards,917.182633055722
307,Grenoble Grands Boulevards,1409.25716380748
308,Grenoble les Frenes,815.400624769153
309,Grenoble Grands Boulevards,432.429558899516
310,Grenoble Grands Boulevards,1344.52630137548
311,Grenoble Grands Boulevards,1851.5552503882
312,Grenoble Grands Boulevards,1551.93724329896
313,Grenoble Grands Boulevards,903.775521521942
314,Grenoble les Frenes,510.451093405395
315,Grenoble Grands Boulevards,834.650182824665
316,Grenoble Grands Boulevards,1206.14305432026
317,Grenoble Grands Boulevards,1166.22044961141
318,Grenoble les Frenes,1031.23185943552
319,Grenoble les Frenes,1049.91215785329
320,Grenoble Grands Boulevards,74.7822296320796
321,Grenoble Grands Boulevards,1285.67547424083
322,Grenoble les Frenes,1141.40898474897
323,Grenoble les Frenes,1143.95438936656
324,Grenoble Grands Boulevards,1977.67438334429
325,Saint-Martin d'Heres,1282.14357038813
326,Grenoble les Frenes,762.028083942829
327,Saint-Martin d'Heres,1494.83231687142
328,Grenoble Grands Boulevards,1184.14726145796
329,Grenoble Grands Boulevards,1680.50555818427
330,Grenoble Rocade Sud,1071.35693933585
331,Grenoble les Frenes,1047.88987457701
332,Grenoble Grands Boulevards,1054.44309567492
333,Grenoble Grands Boulevards,1515.46098163307
334,Grenoble Grands Boulevards,947.932609680243
335,Grenoble les Frenes,542.399751297078
336,Grenoble Grands Boulevards,2225.32442620783
337,Grenoble Grands Boulevards,1499.06293743531
338,Grenoble les Frenes,858.672542704311
339,Grenoble Grands Boulevards,1100.55967943495
340,Grenoble les Frenes,779.328336467374
341,Grenoble Grands Boulevards,186.041146988655
342,Saint-Martin d'Heres,1438.94770214923
343,Grenoble Grands Boulevards,866.882200508476
344,Grenoble Grands Boulevards,993.350963912657
345,Grenoble les Frenes,529.681624095441
346,Saint-Martin d'Heres,736.852202780791
347,Grenoble Grands Boulevards,874.677198460754
348,Grenoble les Frenes,680.017180775685
349,Grenoble Grands Boulevards,1514.99168796716
350,Saint-Martin d'Heres,1848.03778539165
351,Grenoble Grands Boulevards,943.260894353043
352,Grenoble les Frenes,848.225396584914
353,Grenoble Grands Boulevards,1240.80723900794
354,Grenoble Grands Boulevards,729.34075938673
355,Grenoble les Frenes,227.750065900912
356,Saint-Martin d'Heres,1095.28031516446
357,Grenoble les Frenes,993.409453993137
358,Grenoble Rocade Sud,1177.90131858555
359,Grenoble les Frenes,608.168526638353
360,Grenoble les Frenes,627.385438388646
361,Saint-Martin d'Heres,856.339782648671
362,Grenoble les Frenes,290.504261674839
363,Grenoble les Frenes,372.100299654784
364,Grenoble Grands Boulevards,742.333779137453
365,Grenoble les Frenes,867.026817323364
366,Saint-Martin d'Heres,1446.54627810837
367,Saint-Martin d'Heres,1073.10341636159
368,Grenoble les Frenes,598.433941193199
369,Saint-Martin d'Heres,1589.43642457527
370,Grenoble les Frenes,1079.51573788292
371,Grenoble Rocade Sud,891.243894736435
372,Grenoble Grands Boulevards,702.840873013834
373,Grenoble Rocade Sud,807.400232944537
374,Saint-Martin d'Heres,1036.73400285591
375,Grenoble Grands Boulevards,1258.24789073949
376,Grenoble les Frenes,1013.63353963718
377,Grenoble les Frenes,1299.27729667975
378,Grenoble Grands Boulevards,2149.77514688241
379,Grenoble les Frenes,504.127452044371
380,Grenoble Rocade Sud,353.317831893197
381,Grenoble Rocade Sud,1003.95526642215
382,Saint-Martin d'Heres,1322.27536383759
383,Grenoble Grands Boulevards,1250.03632350723
384,Grenoble les Frenes,602.527563658284
385,Grenoble Grands Boulevards,1166.3799973363
386,Saint-Martin d'Heres,2130.79643654316
387,Grenoble Grands Boulevards,426.465723648011
388,Saint-Martin d'Heres,808.968631646563
389,Grenoble Grands Boulevards,1100.67001308769
390,Grenoble Grands Boulevards,495.29313544182
391,Grenoble Grands Boulevards,1123.32546490949
392,Grenoble les Frenes,551.741855927309
393,Grenoble Grands Boulevards,851.803604302436
394,Grenoble Rocade Sud,676.660017217125
395,Grenoble Grands Boulevards,411.775039288634
396,Saint-Martin d'Heres,1956.48361902311
397,Grenoble Grands Boulevards,959.588171190634
398,Grenoble Grands Boulevards,1280.42592311133
399,Grenoble Grands Boulevards,1109.73416933747
400,Grenoble Grands Boulevards,2014.62809236127
401,Grenoble Rocade Sud,796.678952497775
402,Grenoble les Frenes,917.649753823932
403,Saint-Martin d'Heres,2213.73484636001
404,Grenoble Grands Boulevards,750.524645819729
405,Saint-Martin d'Heres,1329.86247676621
406,Saint-Martin d'Heres,1320.43261537902
407,Grenoble Rocade Sud,1082.19973436052
408,Grenoble Grands Boulevards,1204.36915005048
409,Grenoble Grands Boulevards,1403.88636181653
410,Grenoble Grands Boulevards,564.866525698189
411,Grenoble Grands Boulevards,1617.72599931438
412,Saint-Martin d'Heres,1402.87779981893
413,Grenoble Rocade Sud,1292.05205108085
414,Grenoble les Frenes,892.410433176539
415,Grenoble Grands Boulevards,656.57044526551
416,Grenoble Grands Boulevards,920.56821821006
417,Grenoble Rocade Sud,888.925559429106
418,Saint-Martin d'Heres,1328.80570361117
419,Grenoble Grands Boulevards,1466.90129461123
420,Grenoble Grands Boulevards,633.484846245446
421,Saint-Martin d'Heres,1477.4930001936
422,Grenoble Grands Boulevards,1531.01453348901
423,Grenoble Grands Boulevards,1062.50428016161
424,Grenoble Rocade Sud,824.976301812595
425,Grenoble Rocade Sud,723.796691814703
426,Grenoble les Frenes,895.746824904435
427,Grenoble les Frenes,609.990212302358
428,Grenoble Grands Boulevards,1770.08879308677
429,Grenoble Grands Boulevards,1158.16849217553
430,Grenoble Grands Boulevards,947.454276564788
