id,coord_x,coord_y,join_id,join_@id,join_building,join_name,join_operator,join_operator_1,join_railway,join_source,join_uic_ref,join_official_n,join_public_tra,join_train,join_platforms,join_area,join_level,join_wheelchair,join_wikidata,join_wikipedia,distance
61,1914804.5,4225363,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1663.95605687167
62,1915682.8,4223114,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2995.29243737
63,1912532,4223589.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1422.81849515664
64,1913683.2,4224699,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,473.71891886416
65,1912427.5,4222673,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2301.17296934845
66,1915138.9,4221454,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3879.62374353126
67,1914313.5,4222052,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2982.91463672031
68,1913124.1,4221907.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2924.77191519024
69,1912585.9,4221370.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3519.0138603579
70,1912436.4,4222158,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2787.22026771815
71,1915279.4,4223101.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2682.74189990919
72,1915516.8,4222360,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3367.67673861286
73,1912995.9,4223212.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1634.49720907504
74,1913646.6,4223009,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1868.88852889233
75,1913459.8,4223727.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1127.00280431591
76,1912976,4225832.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1033.29594007618
77,1914569.5,4222108,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3034.96379996139
78,1915546.4,4224995.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2324.193429337
79,1914499,4221732.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3348.48843586128
80,1913996.1,4221963.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2968.01426511575
81,1914941,4222444,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2937.5368879279
82,1913059.2,4225714,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,899.57060636214
83,1914421.4,4223824,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1561.06020502635
84,1912489.9,4222689,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2265.08219073257
85,1915564.2,4222279,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3459.36900752226
86,1914693.9,4225193.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1510.12048978082
87,1912087,4226322.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1878.38986990675
88,1912994.5,4225530.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,738.01456819268
