id,distance
140,4636533.69764693
141,4637705.56942291
142,4638648.52850227
143,4636839.98241
144,4638418.65798312
145,4638531.45709054
146,4635598.65356789
147,4636604.70527841
148,4636802.82755107
149,4637463.65059725
150,4637414.01322334
151,4636524.27015445
152,4635465.66169817
153,4636313.35783852
154,4636796.1976727
155,4636524.05692119
156,4635708.15689234
157,4638978.51236799
158,4635097.30735468
159,4636193.49386969
160,4635792.35289263
161,4636158.66058092
162,4636108.52194561
163,4638998.61488834
164,4636339.01490726
165,4638457.30119099
166,4635620.44650825
167,4638771.45297607
168,4635402.10936668
169,4636160.42433561
170,4635417.10966337
171,4637898.98501429
172,4634826.00122221
173,4635235.63518349
174,4636061.39929245
175,4635205.41990712
176,4638408.87032369
177,4636765.93254169
178,4635139.50030252
179,4636357.37764501
180,4635716.76441891
181,4637671.17583686
182,4635335.5968354
183,4635896.35730341
184,4636050.69763022
185,4635339.83451719
186,4636508.34052454
187,4638851.8901877
188,4638635.24534023
189,4635602.66390107
190,4637138.7605325
191,4637689.69690708
192,4636774.39108764
193,4634857.86976291
194,4636198.50927062
195,4634964.20291323
196,4636311.04511079
197,4638106.28793809
198,4637313.08194979
199,4635409.24215318
200,4637672.1033436
201,4636662.48667591
202,4636012.1351427
203,4638593.09868685
204,4638687.45529105
205,4636833.6703086
206,4636214.12582017
207,4636956.95030332
208,4639105.79550654
209,4636684.48493556
210,4638481.82903505
211,4638116.16120205
212,4635696.77815018
213,4634569.5083861
214,4635919.92665229
215,4637269.95030015
216,4635199.62399657
217,4637033.14985704
218,4637594.65471801
219,4635155.98229213
220,4637599.34928785
221,4636138.5715649
222,4638395.46643177
223,4635597.40090551
224,4636599.67474633
225,4636165.87398766
226,4637629.39532073
227,4634651.88060462
228,4637153.95858758
229,4638362.20004629
230,4638162.71836922
231,4634689.30284414
232,4636502.48081372
233,4634926.54336152
234,4637186.3353456
235,4638435.42436352
236,4636157.67192973
237,4637167.12078612
238,4638487.59836369
239,4635621.79270209
240,4635344.02163346
241,4637421.89226222
242,4637549.77985781
243,4635625.94792417
244,4638398.63083105
245,4636837.30495959
246,4636728.0164404
247,4638470.68574479
248,4636929.3514809
249,4636711.62284359
250,4637900.06198015
251,4635139.5087898
252,4638624.84669782
253,4635346.9274864
254,4636336.48916306
255,4638589.82383734
256,4635608.88051795
257,4638578.07100243
258,4637977.16957089
259,4636373.79440994
260,4636376.90317178
261,4638395.54860909
262,4636053.89439062
263,4635954.73888383
264,4634851.7194287
265,4637559.96003887
266,4638969.53334664
267,4638354.63492953
268,4635970.77709612
269,4638530.02544427
270,4638590.91134215
271,4636201.76345124
272,4634795.32440929
273,4637551.85267505
274,4638500.69245406
275,4634901.49809775
276,4637988.10385201
277,4634934.92695857
278,4635526.61906345
279,4634987.80925439
280,4637795.30693754
281,4635852.03937059
282,4636657.5229768
283,4635869.00032385
284,4636658.55586845
285,4636682.66679071
286,4636063.73686036
287,4635687.20916512
288,4636622.31724327
289,4637827.22074354
290,4634978.05312797
291,4635943.05116088
292,4634945.45920976
293,4638833.95932116
294,4636099.10707356
295,4634958.89979354
296,4636679.47676918
297,4638660.34682417
298,4636682.95396378
299,4638311.85875646
300,4636133.23450788
301,4636725.15671983
302,4635184.45921847
303,4634845.05571241
304,4636159.81351776
305,4636748.64863242
306,4636358.53361791
307,4637708.28049327
308,4636330.23800186
309,4636700.4631116
310,4637667.69522591
311,4638791.37026098
312,4638390.02590072
313,4636334.20310106
314,4636132.62659422
315,4637607.77594432
316,4635753.85833058
317,4636067.13267185
318,4636409.36780415
319,4635875.03849776
320,4636902.41252222
321,4636404.41873518
322,4635391.96376199
323,4636110.88810853
324,4638929.52268
325,4637067.77197702
326,4635542.16118625
327,4638792.45394906
328,4636006.1965674
329,4638637.89230235
